#proteinId	gotermId	goName	gotermType	goAcc
28245	5778	DNA-dependent ATPase activity	molecular_function	GO:0008094
28245	3838	nucleus	cellular_component	GO:0005634
28413	2196	transcription factor activity	molecular_function	GO:0003700
28413	3838	nucleus	cellular_component	GO:0005634
28413	4504	regulation of transcription, DNA-dependent	biological_process	GO:0006355
28413	5939	zinc ion binding	molecular_function	GO:0008270
29535	2736	formate-tetrahydrofolate ligase activity	molecular_function	GO:0004329
29535	3736	ATP binding	molecular_function	GO:0005524
29535	6988	folic acid and derivative biosynthetic process	biological_process	GO:0009396
29535	2290	catalytic activity	molecular_function	GO:0003824
29587	2176	DNA binding	molecular_function	GO:0003677
29587	3736	ATP binding	molecular_function	GO:0005524
29587	2175	nucleic acid binding	molecular_function	GO:0003676
29587	2792	helicase activity	molecular_function	GO:0004386
29587	9794	chromatin remodeling complex	cellular_component	GO:0016585
29587	14332	nucleosome binding	molecular_function	GO:0031491
29587	18540	ATP-dependent chromatin remodeling	biological_process	GO:0043044
29758	2227	structural constituent of ribosome	molecular_function	GO:0003735
29758	3827	intracellular	cellular_component	GO:0005622
29758	4025	ribosome	cellular_component	GO:0005840
29758	4556	translation	biological_process	GO:0006412
29967	9940	transferase activity	molecular_function	GO:0016740
30293	5830	metabolic process	biological_process	GO:0008152
30293	2290	catalytic activity	molecular_function	GO:0003824
30293	3708	binding	molecular_function	GO:0005488
30293	2721	[acyl-carrier-protein] S-malonyltransferase activity	molecular_function	GO:0004314
30888	5849	O-methyltransferase activity	molecular_function	GO:0008171
30888	17926	caffeoyl-CoA O-methyltransferase activity	molecular_function	GO:0042409
31790	12037	small conjugating protein ligase activity	molecular_function	GO:0019787
31790	19152	post-translational protein modification	biological_process	GO:0043687
31790	24495	regulation of protein metabolic process	biological_process	GO:0051246
31790	3200	ubiquitin-protein ligase activity	molecular_function	GO:0004842
31790	24685	regulation of ubiquitin-protein ligase activity	biological_process	GO:0051438
31790	24687	regulation of ubiquitin-protein ligase activity during meiotic cell cycle	biological_process	GO:0051440
31790	24690	positive regulation of ubiquitin-protein ligase activity	biological_process	GO:0051443
31790	24691	negative regulation of ubiquitin-protein ligase activity	biological_process	GO:0051444
31803	2540	chitin synthase activity	molecular_function	GO:0004100
31803	4199	chitin biosynthetic process	biological_process	GO:0006031
32970	5939	zinc ion binding	molecular_function	GO:0008270
32984	2518	biotin synthase activity	molecular_function	GO:0004076
33026	9710	oxidoreductase activity	molecular_function	GO:0016491
33026	3722	copper ion binding	molecular_function	GO:0005507
33026	6128	laccase activity	molecular_function	GO:0008471
33356	2290	catalytic activity	molecular_function	GO:0003824
33356	6151	mannan endo-1,6-alpha-mannosidase activity	molecular_function	GO:0008496
33412	4283	electron transport	biological_process	GO:0006118
33412	9823	oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor	molecular_function	GO:0016616
33412	24535	NAD binding	molecular_function	GO:0051287
33412	9710	oxidoreductase activity	molecular_function	GO:0016491
33412	2429	UDP-glucose 6-dehydrogenase activity	molecular_function	GO:0003979
33667	21675	glucomannan 4-beta-mannosyltransferase activity	molecular_function	GO:0047259
34516	162	nucleotide binding	molecular_function	GO:0000166
34516	10269	nucleoside-triphosphatase activity	molecular_function	GO:0017111
34516	3736	ATP binding	molecular_function	GO:0005524
36533	2216	RNA binding	molecular_function	GO:0003723
36533	2228	translation initiation factor activity	molecular_function	GO:0003743
36533	3930	cytoplasm	cellular_component	GO:0005737
36533	4557	translational initiation	biological_process	GO:0006413
37974	2175	nucleic acid binding	molecular_function	GO:0003676
37974	3827	intracellular	cellular_component	GO:0005622
37974	5939	zinc ion binding	molecular_function	GO:0008270
38738	2196	transcription factor activity	molecular_function	GO:0003700
38738	3838	nucleus	cellular_component	GO:0005634
38738	4504	regulation of transcription, DNA-dependent	biological_process	GO:0006355
38738	19030	sequence-specific DNA binding	molecular_function	GO:0043565
38738	21401	protein dimerization activity	molecular_function	GO:0046983
38926	3546	transporter activity	molecular_function	GO:0005215
38926	4927	transport	biological_process	GO:0006810
38926	9321	integral to membrane	cellular_component	GO:0016021
38926	9320	membrane	cellular_component	GO:0016020
38926	6508	guanine deaminase activity	molecular_function	GO:0008892
39030	2290	catalytic activity	molecular_function	GO:0003824
39030	5830	metabolic process	biological_process	GO:0008152
39030	2708	enoyl-CoA hydratase activity	molecular_function	GO:0004300
39515	3633	nucleotide-sugar transmembrane transporter activity	molecular_function	GO:0005338
39515	9092	nucleotide-sugar transport	biological_process	GO:0015780
39515	9321	integral to membrane	cellular_component	GO:0016021
39783	162	nucleotide binding	molecular_function	GO:0000166
39783	3172	aminoacyl-tRNA ligase activity	molecular_function	GO:0004812
39783	3736	ATP binding	molecular_function	GO:0005524
39783	3930	cytoplasm	cellular_component	GO:0005737
39783	4556	translation	biological_process	GO:0006412
39783	4561	tRNA aminoacylation for protein translation	biological_process	GO:0006418
39783	3190	tryptophan-tRNA ligase activity	molecular_function	GO:0004830
39783	4579	tryptophanyl-tRNA aminoacylation	biological_process	GO:0006436
39965	144	exocyst	cellular_component	GO:0000145
39965	5010	vesicle docking during exocytosis	biological_process	GO:0006904
42328	2888	monooxygenase activity	molecular_function	GO:0004497
42328	3721	iron ion binding	molecular_function	GO:0005506
42328	4283	electron transport	biological_process	GO:0006118
42328	12251	heme binding	molecular_function	GO:0020037
42433	5830	metabolic process	biological_process	GO:0008152
42433	6075	acyltransferase activity	molecular_function	GO:0008415
42433	3727	protein binding	molecular_function	GO:0005515
42433	3108	dihydrolipoyllysine-residue acetyltransferase activity	molecular_function	GO:0004742
42433	4258	pyruvate metabolic process	biological_process	GO:0006090
42433	19726	pyruvate dehydrogenase complex	cellular_component	GO:0045254
42433	6948	dihydrolipoamide S-acyltransferase complex	cellular_component	GO:0009351
42433	13388	dihydrolipoamide S-acyltransferase activity	molecular_function	GO:0030523
42857	2196	transcription factor activity	molecular_function	GO:0003700
42857	3838	nucleus	cellular_component	GO:0005634
42857	4504	regulation of transcription, DNA-dependent	biological_process	GO:0006355
42857	19030	sequence-specific DNA binding	molecular_function	GO:0043565
43077	2290	catalytic activity	molecular_function	GO:0003824
43077	6724	nucleoside metabolic process	biological_process	GO:0009116
43077	2244	microtubule motor activity	molecular_function	GO:0003777
43077	4047	kinesin complex	cellular_component	GO:0005871
43077	3736	ATP binding	molecular_function	GO:0005524
43077	5021	apoptosis	biological_process	GO:0006915
44040	4650	amino acid metabolic process	biological_process	GO:0006520
44040	6140	transaminase activity	molecular_function	GO:0008483
44040	2290	catalytic activity	molecular_function	GO:0003824
44040	6667	biosynthetic process	biological_process	GO:0009058
44040	13063	pyridoxal phosphate binding	molecular_function	GO:0030170
44040	9967	transferase activity, transferring nitrogenous groups	molecular_function	GO:0016769
44040	2511	aspartate transaminase activity	molecular_function	GO:0004069
44154	2216	RNA binding	molecular_function	GO:0003723
44336	2290	catalytic activity	molecular_function	GO:0003824
44336	5830	metabolic process	biological_process	GO:0008152
44336	3736	ATP binding	molecular_function	GO:0005524
44336	4171	fructose 2,6-bisphosphate metabolic process	biological_process	GO:0006003
44522	3200	ubiquitin-protein ligase activity	molecular_function	GO:0004842
44522	24685	regulation of ubiquitin-protein ligase activity	biological_process	GO:0051438
44522	24687	regulation of ubiquitin-protein ligase activity during meiotic cell cycle	biological_process	GO:0051440
44522	24690	positive regulation of ubiquitin-protein ligase activity	biological_process	GO:0051443
44522	24691	negative regulation of ubiquitin-protein ligase activity	biological_process	GO:0051444
45617	4650	amino acid metabolic process	biological_process	GO:0006520
45617	13063	pyridoxal phosphate binding	molecular_function	GO:0030170
45617	9964	transferase activity, transferring alkyl or aryl (other than methyl) groups	molecular_function	GO:0016765
46605	3737	GTP binding	molecular_function	GO:0005525
46682	2196	transcription factor activity	molecular_function	GO:0003700
46682	3838	nucleus	cellular_component	GO:0005634
46682	4504	regulation of transcription, DNA-dependent	biological_process	GO:0006355
46682	5939	zinc ion binding	molecular_function	GO:0008270
47628	2175	nucleic acid binding	molecular_function	GO:0003676
47628	3827	intracellular	cellular_component	GO:0005622
47628	5939	zinc ion binding	molecular_function	GO:0008270
47738	5765	N-acetyltransferase activity	molecular_function	GO:0008080
47738	5830	metabolic process	biological_process	GO:0008152
48013	3736	ATP binding	molecular_function	GO:0005524
48013	4301	nucleobase, nucleoside, nucleotide and nucleic acid metabolic process	biological_process	GO:0006139
48013	11478	nucleobase, nucleoside, nucleotide kinase activity	molecular_function	GO:0019205
48013	9974	phosphotransferase activity, phosphate group as acceptor	molecular_function	GO:0016776
48013	11474	nucleotide kinase activity	molecular_function	GO:0019201
48013	2461	adenylate kinase activity	molecular_function	GO:0004017
48725	3547	ion channel activity	molecular_function	GO:0005216
48725	4928	ion transport	biological_process	GO:0006811
48725	9320	membrane	cellular_component	GO:0016020
49807	2175	nucleic acid binding	molecular_function	GO:0003676
49807	3827	intracellular	cellular_component	GO:0005622
49807	5939	zinc ion binding	molecular_function	GO:0008270
49980	3727	protein binding	molecular_function	GO:0005515
50235	2227	structural constituent of ribosome	molecular_function	GO:0003735
50235	3827	intracellular	cellular_component	GO:0005622
50235	4025	ribosome	cellular_component	GO:0005840
50235	4556	translation	biological_process	GO:0006412
50302	2628	aspartic-type endopeptidase activity	molecular_function	GO:0004190
50302	4639	proteolysis	biological_process	GO:0006508
50302	6505	glycerophosphodiester phosphodiesterase activity	molecular_function	GO:0008889
51453	3736	ATP binding	molecular_function	GO:0005524
51453	4591	protein folding	biological_process	GO:0006457
51453	24336	unfolded protein binding	molecular_function	GO:0051082
51453	3727	protein binding	molecular_function	GO:0005515
51453	19405	cellular protein metabolic process	biological_process	GO:0044267
53899	162	nucleotide binding	molecular_function	GO:0000166
53899	10269	nucleoside-triphosphatase activity	molecular_function	GO:0017111
53899	3736	ATP binding	molecular_function	GO:0005524
54343	2290	catalytic activity	molecular_function	GO:0003824
54343	6724	nucleoside metabolic process	biological_process	GO:0009116
55002	10973	cyclohexanone monooxygenase activity	molecular_function	GO:0018667
55188	10024	lyase activity	molecular_function	GO:0016829
55355	4758	lipid metabolic process	biological_process	GO:0006629
55355	5830	metabolic process	biological_process	GO:0008152
55424	2196	transcription factor activity	molecular_function	GO:0003700
55424	3838	nucleus	cellular_component	GO:0005634
55424	4504	regulation of transcription, DNA-dependent	biological_process	GO:0006355
55424	19030	sequence-specific DNA binding	molecular_function	GO:0043565
56322	3838	nucleus	cellular_component	GO:0005634
56817	2176	DNA binding	molecular_function	GO:0003677
56817	3838	nucleus	cellular_component	GO:0005634
56817	4499	transcription	biological_process	GO:0006350
56817	5939	zinc ion binding	molecular_function	GO:0008270
57481	2824	inorganic diphosphatase activity	molecular_function	GO:0004427
57816	156	protein phosphatase type 2A complex	cellular_component	GO:0000159
57816	5250	signal transduction	biological_process	GO:0007165
57816	6242	protein phosphatase type 2A regulator activity	molecular_function	GO:0008601
58181	3724	calcium ion binding	molecular_function	GO:0005509
58181	3547	ion channel activity	molecular_function	GO:0005216
58181	4928	ion transport	biological_process	GO:0006811
58181	9320	membrane	cellular_component	GO:0016020
58694	3827	intracellular	cellular_component	GO:0005622
58694	5830	metabolic process	biological_process	GO:0008152
58694	9573	kinase activity	molecular_function	GO:0016301
58694	9581	phosphorylation	biological_process	GO:0016310
58694	9972	phosphotransferase activity, carboxyl group as acceptor	molecular_function	GO:0016774
58694	4250	organic acid metabolic process	biological_process	GO:0006082
58694	6397	acetate kinase activity	molecular_function	GO:0008776
59187	9480	vesicle-mediated transport	biological_process	GO:0016192
59952	3990	cis-Golgi network	cellular_component	GO:0005801
59952	4996	ER to Golgi vesicle-mediated transport	biological_process	GO:0006888
59952	4927	transport	biological_process	GO:0006810
60398	2706	threonine endopeptidase activity	molecular_function	GO:0004298
60398	4024	proteasome core complex	cellular_component	GO:0005839
60398	4642	ubiquitin-dependent protein catabolic process	biological_process	GO:0006511
60398	2707	proteasome endopeptidase activity	molecular_function	GO:0004299
60607	4929	cation transport	biological_process	GO:0006812
60607	5991	cation transmembrane transporter activity	molecular_function	GO:0008324
60607	9320	membrane	cellular_component	GO:0016020
61274	3116	ribulose-phosphate 3-epimerase activity	molecular_function	GO:0004750
61274	4143	carbohydrate metabolic process	biological_process	GO:0005975
61274	2290	catalytic activity	molecular_function	GO:0003824
61274	5830	metabolic process	biological_process	GO:0008152
61297	5830	metabolic process	biological_process	GO:0008152
62047	3043	protein kinase activity	molecular_function	GO:0004672
62047	3736	ATP binding	molecular_function	GO:0005524
62047	4602	protein amino acid phosphorylation	biological_process	GO:0006468
62047	3045	protein serine/threonine kinase activity	molecular_function	GO:0004674
62047	3075	MAP kinase kinase kinase activity	molecular_function	GO:0004709
62882	3736	ATP binding	molecular_function	GO:0005524
62882	10082	ATPase activity	molecular_function	GO:0016887
62882	162	nucleotide binding	molecular_function	GO:0000166
62882	10269	nucleoside-triphosphatase activity	molecular_function	GO:0017111
62882	8759	sulfate transmembrane-transporting ATPase activity	molecular_function	GO:0015419
63068	2196	transcription factor activity	molecular_function	GO:0003700
63068	3838	nucleus	cellular_component	GO:0005634
63068	4504	regulation of transcription, DNA-dependent	biological_process	GO:0006355
63068	5939	zinc ion binding	molecular_function	GO:0008270
63107	4143	carbohydrate metabolic process	biological_process	GO:0005975
63107	10063	intramolecular transferase activity, phosphotransferases	molecular_function	GO:0016868
63107	2984	phosphoacetylglucosamine mutase activity	molecular_function	GO:0004610
64056	2196	transcription factor activity	molecular_function	GO:0003700
64056	3838	nucleus	cellular_component	GO:0005634
64056	4504	regulation of transcription, DNA-dependent	biological_process	GO:0006355
64056	5939	zinc ion binding	molecular_function	GO:0008270
64297	2176	DNA binding	molecular_function	GO:0003677
64297	3838	nucleus	cellular_component	GO:0005634
64297	4499	transcription	biological_process	GO:0006350
64297	5939	zinc ion binding	molecular_function	GO:0008270
64882	2441	acid phosphatase activity	molecular_function	GO:0003993
65444	4598	protein modification process	biological_process	GO:0006464
66970	3043	protein kinase activity	molecular_function	GO:0004672
66970	3736	ATP binding	molecular_function	GO:0005524
66970	4602	protein amino acid phosphorylation	biological_process	GO:0006468
66970	3045	protein serine/threonine kinase activity	molecular_function	GO:0004674
66970	3046	transmembrane receptor protein serine/threonine kinase activity	molecular_function	GO:0004675
66970	3047	3-phosphoinositide-dependent protein kinase activity	molecular_function	GO:0004676
66970	3048	DNA-dependent protein kinase activity	molecular_function	GO:0004677
66970	3049	AMP-activated protein kinase activity	molecular_function	GO:0004679
66970	3050	casein kinase activity	molecular_function	GO:0004680
66970	3051	casein kinase I activity	molecular_function	GO:0004681
66970	3057	cyclic nucleotide-dependent protein kinase activity	molecular_function	GO:0004690
66970	3061	eukaryotic translation initiation factor 2alpha kinase activity	molecular_function	GO:0004694
66970	3062	galactosyltransferase-associated kinase activity	molecular_function	GO:0004695
66970	3063	glycogen synthase kinase 3 activity	molecular_function	GO:0004696
66970	3065	calcium-dependent protein kinase C activity	molecular_function	GO:0004698
66970	3067	atypical protein kinase C activity	molecular_function	GO:0004700
66970	3068	receptor signaling protein serine/threonine kinase activity	molecular_function	GO:0004702
66970	3070	NF-kappaB-inducing kinase activity	molecular_function	GO:0004704
66970	3071	JUN kinase activity	molecular_function	GO:0004705
66970	3072	JUN kinase kinase kinase activity	molecular_function	GO:0004706
66970	3074	MAP kinase kinase activity	molecular_function	GO:0004708
66970	3076	MAP/ERK kinase kinase activity	molecular_function	GO:0004710
66970	3077	ribosomal protein S6 kinase activity	molecular_function	GO:0004711
66970	3084	Janus kinase activity	molecular_function	GO:0004718
66970	6004	MAP kinase 1 activity	molecular_function	GO:0008338
66970	6005	MP kinase activity	molecular_function	GO:0008339
66970	6015	MAP kinase kinase kinase kinase activity	molecular_function	GO:0008349
66970	6196	JUN kinase kinase activity	molecular_function	GO:0008545
66970	10102	MAP kinase 2 activity	molecular_function	GO:0016908
66970	10103	SAP kinase activity	molecular_function	GO:0016909
66970	11472	transmembrane receptor protein kinase activity	molecular_function	GO:0019199
66970	12154	cyclin-dependent protein kinase activating kinase activity	molecular_function	GO:0019912
66970	17037	GTP-dependent protein kinase activity	molecular_function	GO:0034211
67222	3727	protein binding	molecular_function	GO:0005515
68161	2196	transcription factor activity	molecular_function	GO:0003700
68161	3838	nucleus	cellular_component	GO:0005634
68161	4504	regulation of transcription, DNA-dependent	biological_process	GO:0006355
68161	5939	zinc ion binding	molecular_function	GO:0008270
68179	3166	triacylglycerol lipase activity	molecular_function	GO:0004806
68298	141	acylglycerone-phosphate reductase activity	molecular_function	GO:0000140
69876	2196	transcription factor activity	molecular_function	GO:0003700
69876	3838	nucleus	cellular_component	GO:0005634
69876	4504	regulation of transcription, DNA-dependent	biological_process	GO:0006355
69876	5939	zinc ion binding	molecular_function	GO:0008270
69876	2176	DNA binding	molecular_function	GO:0003677
69876	4499	transcription	biological_process	GO:0006350
69876	6485	galactonate dehydratase activity	molecular_function	GO:0008869
70943	2832	inositol or phosphatidylinositol phosphatase activity	molecular_function	GO:0004437
70943	2834	phosphoinositide 5-phosphatase activity	molecular_function	GO:0004439
71117	2175	nucleic acid binding	molecular_function	GO:0003676
71117	3827	intracellular	cellular_component	GO:0005622
71117	5939	zinc ion binding	molecular_function	GO:0008270
71274	2290	catalytic activity	molecular_function	GO:0003824
71274	6724	nucleoside metabolic process	biological_process	GO:0009116
71407	2196	transcription factor activity	molecular_function	GO:0003700
71407	3838	nucleus	cellular_component	GO:0005634
71407	4504	regulation of transcription, DNA-dependent	biological_process	GO:0006355
71407	5939	zinc ion binding	molecular_function	GO:0008270
72099	23368	L-gulonolactone oxidase activity	molecular_function	GO:0050105
72109	6574	phosphatidylglycerophosphatase activity	molecular_function	GO:0008962
72419	3737	GTP binding	molecular_function	GO:0005525
72419	5344	small GTPase mediated signal transduction	biological_process	GO:0007264
72419	3827	intracellular	cellular_component	GO:0005622
72419	8400	protein transport	biological_process	GO:0015031
72551	4283	electron transport	biological_process	GO:0006118
72551	9710	oxidoreductase activity	molecular_function	GO:0016491
72551	3721	iron ion binding	molecular_function	GO:0005506
72551	14259	L-ascorbic acid binding	molecular_function	GO:0031418
72551	19791	carnitine biosynthetic process	biological_process	GO:0045329
72551	23615	trimethyllysine dioxygenase activity	molecular_function	GO:0050353
73035	3200	ubiquitin-protein ligase activity	molecular_function	GO:0004842
73035	24685	regulation of ubiquitin-protein ligase activity	biological_process	GO:0051438
